Temperature,Humidity
136,96
55,23
39,2
53,26
8,87
88,57
72,12
5,63
6,67
88,66
54,15
45,51
30,29
3,78
136,29
16,20
110,75
27,21
145,39
25,17
3,75
112,87
131,86
69,67
139,55
10,39
71,90
126,98
116,18
147,83
106,58
111,33
39,92
78,69
127,85
67,21
61,100
7,5
100,39
121,56
84,15
41,17
32,93
31,39
49,64
105,43
8,89
18,41
11,50
101,33
103,14
31,4
129,9
125,80
113,23
44,28
43,69
35,18
80,62
48,25
62,77
10,52
32,35
78,62
51,32
35,79
137,76
40,59
70,12
150,72
89,82
7,93
89,1
68,70
55,37
72,29
122,59
80,1
83,90
5,10
64,6
113,29
77,62
67,43
31,18
14,77
37,36
119,84
121,66
94,5
49,66
73,40
101,89
35,61
114,29
110,21
119,86
109,81
81,63
100,54
